FECHA (YYMMDD);HORA (HHMM);Registros validados;
040206;0000;0,974384;
040206;0100;0,31303;
040206;0200;0,582133;
040206;0300;0,376694;
040206;0400;0,50351;
040206;0500;0,63625;
040206;0600;0,908237;
040206;0700;0,865103;
040206;0800;1,74272;
040206;0900;2,08414;
040206;1000;2,70409;
040206;1100;2,70749;
040206;1200;2,53841;
040206;1300;3,52714;
040206;1400;3,44949;
040206;1500;3,54355;
040206;1600;3,46967;
040206;1700;3,07424;
040206;1800;2,98938;
040206;1900;1,8958;
040206;2000;1,54575;
040206;2100;2,00798;
040206;2200;1,64509;
040206;2300;0,898728;
040207;0000;0,597075;
040207;0100;0,943066;
040207;0200;1,26641;
040207;0300;1,68209;
040207;0400;1,3805;
040207;0500;1,1324;
040207;0600;0,816031;
040207;0700;0,956676;
040207;0800;1,3148;
040207;0900;2,25938;
040207;1000;2,28503;
040207;1100;2,58228;
040207;1200;2,76792;
040207;1300;3,51571;
040207;1400;3,33129;
040207;1500;3,31617;
040207;1600;2,87452;
040207;1700;2,81673;
040207;1800;2,94575;
040207;1900;2,28773;
040207;2000;1,70985;
040207;2100;2,16695;
040207;2200;1,61659;
040207;2300;1,34999;
040208;0000;1,22206;
040208;0100;1,47782;
040208;0200;1,2845;
040208;0300;1,27065;
040208;0400;1,04725;
040208;0500;0,870791;
040208;0600;0,962085;
040208;0700;1,38482;
040208;0800;1,67021;
040208;0900;1,48185;
040208;1000;1,25532;
040208;1100;1,93768;
040208;1200;2,21242;
040208;1300;2,72405;
040208;1400;3,23888;
040208;1500;3,20318;
040208;1600;2,9537;
040208;1700;2,85685;
040208;1800;2,75415;
040208;1900;2,23249;
040208;2000;2,23385;
040208;2100;1,17523;
040208;2200;1,23306;
040208;2300;0,990449;
040209;0000;0,693255;
040209;0100;0,626888;
040209;0200;0,643863;
040209;0300;0,412256;
040209;0400;0,365671;
040209;0500;0,374201;
040209;0600;0,238353;
040209;0700;0,538529;
040209;0800;0,779078;
040209;0900;0,952312;
040209;1000;0,980651;
040209;1100;1,08765;
040209;1200;1,50996;
040209;1300;2,39656;
040209;1400;2,68746;
040209;1500;3,11921;
040209;1600;2,91327;
040209;1700;3,53066;
040209;1800;2,71937;
040209;1900;2,22508;
040209;2000;1,38091;
040209;2100;0,628716;
040209;2200;0,669621;
040209;2300;0,574343;
040210;0000;0,907187;
040210;0100;0,885655;
040210;0200;0,455073;
040210;0300;0,730905;
040210;0400;0,2858;
040210;0500;0,518907;
040210;0600;0,500967;
040210;0700;0,827929;
040210;0800;0,752132;
040210;0900;1,72948;
040210;1000;2,21447;
040210;1100;2,95874;
040210;1200;3,38437;
040210;1300;3,57776;
040210;1400;3,90807;
040210;1500;3,4404;
040210;1600;3,82001;
040210;1700;3,4846;
040210;1800;3,21191;
040210;1900;2,44015;
040210;2000;2,19115;
040210;2100;1,60908;
040210;2200;1,43475;
040210;2300;1,27203;
040211;0000;1,69246;
040211;0100;1,16002;
040211;0200;1,41061;
040211;0300;1,60097;
040211;0400;1,22472;
040211;0500;1,13111;
040211;0600;1,59844;
040211;0700;0,8979;
040211;0800;2,52063;
040211;0900;2,73045;
040211;1000;2,11312;
040211;1100;1,40341;
040211;1200;2,69686;
040211;1300;2,69356;
040211;1400;3,65121;
040211;1500;3,71515;
040211;1600;3,585;
040211;1700;3,40602;
040211;1800;2,96346;
040211;1900;2,17059;
040211;2000;2,01314;
040211;2100;1,55347;
040211;2200;1,01551;
040211;2300;0,787271;
040212;0000;1,00649;
040212;0100;1,034;
040212;0200;0,939089;
040212;0300;0,842083;
040212;0400;0,728357;
040212;0500;0,293607;
040212;0600;0,657919;
040212;0700;0,101392;
040212;0800;1,35413;
040212;0900;1,33357;
040212;1000;0,983883;
040212;1100;0,646718;
040212;1200;1,65694;
040212;1300;2,34448;
040212;1400;3,17817;
040212;1500;3,2855;
040212;1600;3,13733;
040212;1700;2,81239;
040212;1800;2,71021;
040212;1900;2,72231;
040212;2000;1,70683;
040212;2100;1,49213;
040212;2200;0,964849;
040212;2300;0,605694;
040213;0000;0,478927;
040213;0100;0,5027;
040213;0200;0,714375;
040213;0300;0,281466;
040213;0400;0,741531;
040213;0500;0,18565;
040213;0600;0,281585;
040213;0700;0,416012;
040213;0800;0,775252;
040213;0900;1,28896;
040213;1000;1,30232;
040213;1100;1,67694;
040213;1200;2,01341;
040213;1300;2,86026;
040213;1400;3,49802;
040213;1500;3,55894;
040213;1600;3,49696;
040213;1700;3,63923;
040213;1800;3,37638;
040213;1900;3,22052;
040213;2000;2,51067;
040213;2100;1,61875;
040213;2200;1,37575;
040213;2300;0,611856;
040214;0000;0,671573;
040214;0100;0,648932;
040214;0200;0,711308;
040214;0300;0,54668;
040214;0400;0,341864;
040214;0500;0,350097;
040214;0600;0,472473;
040214;0700;0,708766;
040214;0800;0,509188;
040214;0900;1,06784;
040214;1000;1,29341;
040214;1100;1,70465;
040214;1200;2,59529;
040214;1300;2,8168;
040214;1400;3,31321;
040214;1500;3,52558;
040214;1600;3,58046;
040214;1700;3,44169;
040214;1800;3,3486;
040214;1900;2,81677;
040214;2000;2,16538;
040214;2100;1,50337;
040214;2200;1,15096;
040214;2300;0,805737;
040215;0000;0,905005;
040215;0100;0,699454;
040215;0200;0,63682;
040215;0300;0,852119;
040215;0400;0,421442;
040215;0500;0,359394;
040215;0600;0,313241;
040215;0700;0,414461;
040215;0800;1,2154;
040215;0900;1,71155;
040215;1000;2,12825;
040215;1100;2,82572;
040215;1200;3,15157;
040215;1300;3,24617;
040215;1400;4,08765;
040215;1500;4,05534;
040215;1600;3,79694;
040215;1700;3,86057;
040215;1800;3,37713;
040215;1900;3,035;
040215;2000;1,63868;
040215;2100;1,36628;
040215;2200;1,65479;
040215;2300;2,03736;
040216;0000;1,68254;
040216;0100;1,28543;
040216;0200;1,08196;
040216;0300;1,09412;
040216;0400;0,794385;
040216;0500;0,340906;
040216;0600;1,49589;
040216;0700;0,638189;
040216;0800;0,988744;
040216;0900;0,140199;
040216;1000;1,68795;
040216;1100;1,90218;
040216;1200;1,79194;
040216;1300;2,69717;
040216;1400;2,9818;
040216;1500;2,75006;
040216;1600;2,36223;
040216;1700;2,51697;
040216;1800;2,38985;
040216;1900;2,14538;
040216;2000;1,75174;
040216;2100;1,59154;
040216;2200;1,22011;
040216;2300;0,513158;
040217;0000;;
040217;0100;;
040217;0200;;
040217;0300;;
040217;0400;;
040217;0500;;
040217;0600;;
040217;0700;;
040217;0800;;
040217;0900;;
040217;1000;;
040217;1100;;
040217;1200;;
040217;1300;;
040217;1400;;
040217;1500;;
040217;1600;;
040217;1700;;
040217;1800;;
040217;1900;;
040217;2000;;
040217;2100;;
040217;2200;;
040217;2300;;
040218;0000;;
040218;0100;;
040218;0200;;
040218;0300;;
040218;0400;;
040218;0500;;
040218;0600;;
040218;0700;;
040218;0800;;
040218;0900;;
040218;1000;;
040218;1100;;
040218;1200;;
040218;1300;;
040218;1400;;
040218;1500;;
040218;1600;3,50754;
040218;1700;3,56884;
040218;1800;3,02645;
040218;1900;1,67816;
040218;2000;1,11808;
