FECHA (YYMMDD);HORA (HHMM);Registros validados;
040215;2100;66,5833;
040215;2200;75,8333;
040215;2300;82,8333;
040216;0000;87;
040216;0100;89,4164;
040216;0200;90,4164;
040216;0300;88,5;
040216;0400;86,25;
040216;0500;86,4167;
040216;0600;86,3333;
040216;0700;86,4164;
040216;0800;82,8333;
040216;0900;72,5833;
040216;1000;65,8333;
040216;1100;58,6666;
040216;1200;50,0833;
040216;1300;42,9167;
040216;1400;30,5833;
040216;1500;30,25;
040216;1600;31,6667;
040216;1700;33,75;
040216;1800;37,0833;
040216;1900;45,8333;
040216;2000;54,3333;
040216;2100;57,75;
040216;2200;58,5;
040216;2300;62;
040217;0000;;
040217;0100;;
040217;0200;;
040217;0300;;
040217;0400;;
040217;0500;;
040217;0600;;
040217;0700;;
040217;0800;;
040217;0900;;
040217;1000;;
040217;1100;;
040217;1200;;
040217;1300;;
040217;1400;;
040217;1500;;
040217;1600;;
040217;1700;;
040217;1800;;
040217;1900;;
040217;2000;41,0833;
040217;2100;40,0833;
040217;2200;38;
040217;2300;38,6667;
040218;0000;39,3333;
040218;0100;42,9167;
040218;0200;46;
040218;0300;52,75;
040218;0400;48,4167;
040218;0500;53,5833;
040218;0600;55,25;
040218;0700;44,3333;
040218;0800;38,25;
040218;0900;33,5;
040218;1000;29,4167;
040218;1100;25,5;
040218;1200;23,8333;
040218;1300;20,9167;
040218;1400;18,9167;
040218;1500;17,8333;
040218;1600;14,75;
040218;1700;13,8333;
040218;1800;15;
040218;1900;18,9167;
040218;2000;22;
040218;2100;25,6667;
040218;2200;29,9167;
040218;2300;37,8333;
040219;0000;43,75;
040219;0100;49,0833;
040219;0200;56,3333;
040219;0300;53,5833;
040219;0400;53,5;
040219;0500;55;
040219;0600;56,5833;
040219;0700;43,5833;
040219;0800;31,5;
040219;0900;27,9167;
040219;1000;24,1667;
040219;1100;19,8333;
040219;1200;16,9167;
040219;1300;15,5833;
040219;1400;16,5833;
040219;1500;22,9167;
040219;1600;29,75;
040219;1700;33,6666;
040219;1800;38,9166;
040219;1900;49;
040219;2000;58,25;
040219;2100;61,6666;
040219;2200;66,8333;
040219;2300;71,3333;
040220;0000;78;
040220;0100;82,5833;
040220;0200;85;
040220;0300;85,6667;
040220;0400;87;
040220;0500;88,6664;
040220;0600;91,9164;
040220;0700;90,75;
040220;0800;91,5;
040220;0900;84,5833;
040220;1000;73,4164;
040220;1100;65,5833;
040220;1200;58,6666;
040220;1300;54,5833;
040220;1400;54,6666;
